id,student_id,program,grade,status,age,attendance_rate,quiz_score,exams_score,performance_task,activities,final_grade,gpa
27,2025-844609,BSIT,50.65687,0,18,40.84,59.08463,44.3737,44.49661,37.66926,50.65687,3.02097
28,2025-646459,BSCS,52.57172,0,24,44.55,74.9945,73.21631,27.95342,30.36673,52.57172,2.5021
29,2025-124953,BSIT,51.16067,0,20,60.85,67.74652,82.6748,22.67548,44.82244,51.16067,2.40396
30,2025-780446,BSCS,49.47823,0,21,56.27,57.85308,90.66678,23.66724,37.12986,49.47823,2.43244
31,2025-313072,BSIT,51.51961,0,21,54.07,78.44544,69.95754,28.03192,39.44669,51.51961,2.49235
32,2025-337266,BSIT,53.92337,0,21,52.28,81.36178,74.47824,25.23268,41.39031,53.92337,2.38347
33,2025-244397,BSIT,49.43657,0,24,60.09,81.99845,69.96484,28.33455,37.45532,49.43657,2.47309
34,2025-824050,BSCS,52.29661,0,23,47.47,58.12559,68.35191,35.77782,41.10272,52.29661,2.68815
35,2025-307847,BSIT,48.69629,0,25,43.05,54.90863,80.12889,32.86427,32.55969,48.69629,2.64784
36,2025-102305,BSIT,51.25184,0,23,44.16,74.35734,59.30089,37.27972,33.98092,51.25184,2.69686
37,2025-906053,BSIT,51.91333,0,19,44.86,85.88454,86.54747,20.0594,36.76293,51.91333,2.2643
38,2025-644691,BSCS,57.76991,0,20,42.49,72.92445,65.63693,34.91203,37.78728,57.76991,2.53468
39,2025-399469,BSCS,51.88562,0,18,48.91,56.51998,70.44997,37.58757,39.53262,51.88562,2.67663
40,2025-842877,BSCS,53.28498,0,20,58.83,70.50891,71.6543,33.98742,33.74421,53.28498,2.4882
41,2025-560732,BSCS,51.92046,0,25,54.27,77.23289,47.53027,43.68847,35.77925,51.92046,2.76397
42,2025-491484,BSIT,51.74771,0,18,43.36,84.91766,75.28128,27.10415,38.55385,51.74771,2.41588
43,2025-657499,BSCS,54.21308,0,24,50.17,59.01368,77.8977,32.73821,44.04371,54.21308,2.52503
44,2025-787041,BSCS,52.4608,0,22,58.46,57.32648,74.64139,37.85688,33.06702,52.4608,2.57248
45,2025-168123,BSCS,51.8072,0,24,42.77,84.71741,62.0077,34.38155,41.1347,51.8072,2.57817
46,2025-565238,BSCS,53.8747,0,20,54.07,62.68885,59.70344,40.99067,48.05153,53.8747,2.70377
47,2025-177499,BSIT,51.47103,0,25,44.98,74.38447,75.65663,31.04652,42.94398,51.47103,2.49359
48,2025-978537,BSCS,54.73112,0,21,48.8,76.70554,81.61571,28.26269,40.37138,54.73112,2.33607
49,2025-199604,BSIT,56.34444,0,24,51.36,60.65391,92.53675,27.32238,43.536,56.34444,2.29738
50,2025-797054,BSCS,53.55121,0,21,41.62,67.2869,52.91235,46.43034,37.51485,53.55121,2.80346
51,2025-510430,BSDSA,52.06959,0,19,80.26,88.10328,73.36751,30.68942,36.032,52.06959,2.26061
52,2025-523324,BSCS,53.80003,0,18,40.25,56.69034,55.54716,48.86551,37.81097,53.80003,2.85811
53,2025-521598,BSIT,54.5704,0,24,43.36,66.70066,87.51492,30.93665,32.74457,54.5704,2.36965
54,2025-900666,BSDSA,54.89095,0,24,43.55,72.51636,77.68387,33.21807,37.41583,54.89095,2.43521
55,2025-806154,BSIT,53.66993,0,19,53.95,84.9476,83.92884,27.01088,34.51082,53.66993,2.23875
56,2025-193611,BSIT,54.68534,0,23,44.37,71.38998,66.29206,39.27892,37.73637,54.68534,2.58093
57,2025-340858,BSIT,54.95804,0,18,58.54,75.18832,71.95873,34.19582,45.52156,54.95804,2.4215
58,2025-771173,BLIS,53.2528,0,19,57.9,71.73832,76.37374,34.09018,40.56447,53.2528,2.42596
59,2025-318172,BSIT,54.7205,0,24,54.3,97.12657,65.71503,34.82275,26.7657,54.7205,2.34168
60,2025-608940,BSCS,54.84956,0,23,66.53,64.57208,72.65413,39.39199,38.14426,54.84956,2.46786
61,2025-558605,BSCS,56.29685,0,21,58.62,71.02751,85.71216,31.06144,38.74038,56.29685,2.268
62,2025-670444,BSCS,55.88452,0,24,42.2,66.33405,48.92909,51.40673,38.95404,55.88452,2.81923
63,2025-134825,BSIT,53.7064,0,19,60.2,77.26244,96.23839,25.34721,34.88164,53.7064,2.12694
64,2025-646956,BSCS,53.33562,0,22,46.23,84.93782,77.40975,33.18723,34.0213,53.33562,2.35329
65,2025-138433,BSCS,55.87722,0,22,53.0,63.80542,81.76065,36.32314,40.56804,55.87722,2.40239
66,2025-598633,BSCS,53.96127,0,21,45.71,79.66809,62.5519,43.38092,30.54799,53.96127,2.56581
67,2025-145938,BSIT,58.42744,0,23,45.13,63.93766,67.79195,42.93383,44.27071,58.42744,2.55964
68,2025-470814,BSCS,58.23843,0,24,53.24,62.25602,63.45047,47.32551,37.10281,58.23843,2.59577
69,2025-425438,BSIT,55.42813,0,21,50.13,82.71405,77.13955,35.41412,32.80412,55.42813,2.32524
70,2025-654561,BSIT,56.11202,0,18,51.08,96.60123,56.32407,40.96634,37.70672,56.11202,2.44919
71,2025-277211,BSCS,57.36943,0,22,56.58,68.73603,73.93573,40.36447,38.5326,57.36943,2.41865
72,2025-966740,BSCS,56.65648,0,21,77.83,68.75502,83.58186,37.33291,29.68473,56.65648,2.22915
73,2025-145051,BSCS,58.16952,0,25,46.21,66.09834,70.60961,43.25303,36.7374,58.16952,2.50835
74,2025-932446,BSIT,56.80042,0,19,45.08,78.38058,77.67432,34.95827,43.67398,56.80042,2.35174
75,2025-530918,BSIT,56.72095,0,24,41.46,79.62963,67.91147,39.57758,44.53311,56.72095,2.47465
76,2025-702478,BSCS,56.62555,0,18,67.03,66.53649,69.71327,41.96307,49.35531,56.62555,2.45702
77,2025-228223,BSIT,55.59063,0,21,59.56,76.74904,100.0,24.1211,48.51485,55.59063,2.05832
78,2025-620273,BSDSA,55.986,0,22,41.97,63.41351,51.25835,55.40972,34.55213,55.986,2.81394
79,2025-314292,BSIT,57.04949,0,22,59.88,86.76894,76.60381,35.32801,37.24583,57.04949,2.23429
80,2025-151957,BSIT,58.66478,0,23,70.32,79.13483,87.94814,31.626,39.09584,58.66478,2.09163
81,2025-450208,BSIT,56.55422,0,22,52.79,68.63301,59.91921,47.92489,44.56887,56.55422,2.61588
82,2025-677289,BSIT,60.00873,0,20,56.09,63.42072,71.87151,44.52057,40.99203,60.00873,2.44568
83,2025-534431,BSCS,58.96135,0,19,56.04,80.00079,73.72067,39.53028,38.30075,58.96135,2.3078
84,2025-347308,BSIT,57.82368,0,20,47.25,64.30952,78.82975,42.54966,34.26989,57.82368,2.42539
85,2025-300236,BLIS,58.16093,0,21,49.37,68.34889,74.86624,43.84199,32.18905,58.16093,2.42676
86,2025-714660,BSIT,57.33584,0,21,78.22,78.80118,83.46931,36.38086,33.06283,57.33584,2.13771
87,2025-652274,BSCS,55.89894,0,22,55.91,75.58596,56.60622,51.60383,29.60544,55.89894,2.59801
88,2025-610911,BSIT,57.28169,0,25,54.47,77.12011,60.81206,48.33132,35.6213,57.28169,2.51891
89,2025-475096,BSIT,59.80918,0,22,67.23,82.81216,89.24123,30.92523,43.27481,59.80918,2.04074
90,2025-676882,BSIT,58.65485,0,18,62.81,71.55328,77.22693,41.02165,40.62388,58.65485,2.31113
91,2025-839172,BSDSA,56.48962,0,24,41.19,54.72942,78.99723,48.01202,31.37127,56.48962,2.5456
92,2025-825781,BSCS,58.58354,0,25,44.3,75.17138,74.11097,43.43503,36.59906,58.58354,2.39476
93,2025-205989,BSDSA,59.93588,0,19,85.51,88.28738,100.0,26.19075,38.90791,59.93588,1.79269
94,2025-923107,BSIT,58.88463,0,19,40.37,73.368,57.74201,53.43352,30.74635,58.88463,2.61652
95,2025-357143,BSCS,58.28708,0,21,53.65,83.26284,74.872,39.51851,43.19731,58.28708,2.28824
96,2025-757835,BSDSA,60.19986,0,20,65.79,80.82198,68.80419,43.75622,42.07239,60.19986,2.30142
97,2025-917561,BSIT,59.95925,0,18,40.18,83.19541,53.27837,52.50987,33.61491,59.95925,2.57503
98,2025-930354,BSCS,60.82054,0,21,57.69,64.83019,76.63452,44.42932,43.28355,60.82054,2.35786
99,2025-235605,BLIS,59.85964,0,21,78.61,87.86562,88.30804,31.16375,46.51643,59.85964,1.96518
100,2025-273574,BLIS,61.05539,0,18,50.93,59.32469,66.41085,51.76421,42.49801,61.05539,2.54787
101,2025-571094,BSIT,61.7541,0,21,76.01,95.3117,85.74474,31.73379,41.89865,61.7541,1.91646
102,2025-913512,BSCS,57.72178,0,20,48.01,90.75366,85.99673,32.67947,44.14885,57.72178,2.12642
103,2025-267804,BSIT,62.18737,0,23,45.25,58.33568,73.59021,49.78716,39.73007,62.18737,2.47423
104,2025-634946,BSCS,60.11795,0,19,61.07,88.54075,96.09617,31.95772,27.99966,60.11795,1.93235
105,2025-715599,BSIT,61.97356,0,23,65.57,73.8808,72.12855,46.98318,35.99954,61.97356,2.28955
106,2025-191944,BSCS,57.30027,0,22,44.76,57.02885,84.02322,48.23219,27.85532,57.30027,2.43965
107,2025-968256,BSIT,58.25299,0,25,74.61,90.14007,87.18649,33.2294,45.7761,58.25299,2.00215
108,2025-660640,BSIT,61.13029,0,22,50.04,85.32837,62.5486,47.47757,43.52766,61.13029,2.38855
109,2025-944397,BSCS,60.61475,0,21,56.74,76.84544,72.73822,47.14116,32.58485,60.61475,2.31558
110,2025-111263,BSCS,61.79817,0,22,40.94,66.26863,65.90704,53.80237,32.7768,61.79817,2.52644
111,2025-484715,BLIS,60.91115,0,25,72.76,79.45551,76.90493,41.26748,49.23212,60.91115,2.17588
112,2025-175598,BLIS,61.89364,0,23,73.63,76.0254,85.28702,38.69372,46.68883,61.89364,2.08353
113,2025-560886,BSIT,63.44769,0,25,69.85,87.03263,77.09517,39.47661,48.12498,63.44769,2.08403
114,2025-563145,BSIT,62.59589,0,23,76.73,83.47249,79.32829,40.21276,44.48826,62.59589,2.07183
115,2025-191273,BLIS,62.36542,0,19,79.14,85.46711,88.14998,35.57854,43.16377,62.36542,1.94406
116,2025-948331,BSIT,62.66978,0,20,58.33,77.74974,57.3526,51.94382,50.0,62.66978,2.45373
117,2025-313664,BSIT,62.83307,0,19,43.19,65.81779,58.35193,58.33859,34.11295,62.83307,2.59515
118,2025-543477,BLIS,60.65385,0,19,40.12,69.80742,56.03842,56.59205,42.65698,60.65385,2.63814
119,2025-258024,BSCS,61.44005,0,24,66.51,81.3904,68.90288,47.20502,40.08349,61.44005,2.27296
120,2025-681158,BSCS,60.0756,0,18,56.52,89.5682,73.56079,43.68342,33.92696,60.0756,2.21344
121,2025-611988,BSIT,62.05956,0,22,59.71,89.36322,73.79742,42.83055,40.54403,62.05956,2.16773
122,2025-870588,BSIT,60.69603,0,19,43.23,67.47339,45.14851,65.05959,35.11753,60.69603,2.77437
123,2025-801518,BSIT,59.69399,0,18,40.46,72.87605,63.37418,55.30058,30.36615,59.69399,2.53956
124,2025-765277,BLIS,58.38243,0,25,55.93,82.61536,73.12328,47.3542,32.51478,58.38243,2.30376
125,2025-559234,BSIT,66.46693,0,23,51.71,67.00823,58.2668,57.21481,46.86011,66.46693,2.49442
126,2025-737902,BLIS,61.15835,0,19,57.11,84.48671,82.66244,40.5315,43.55241,61.15835,2.12518
127,2025-775052,BSCS,60.89435,0,22,72.47,91.36151,73.59145,43.41631,41.60888,60.89435,2.12182
128,2025-257059,BSIT,63.41687,0,22,64.35,81.4503,72.09506,48.17976,36.58423,63.41687,2.21119
129,2025-414993,BLIS,62.45961,0,21,54.12,79.71388,81.12143,44.96258,32.8987,62.45961,2.173
130,2025-600139,BSIT,60.75947,0,23,96.2,97.50963,81.06742,37.45091,43.95221,60.75947,1.89016
131,2025-565285,BSDSA,60.06615,0,25,68.07,90.23907,93.6024,33.89721,41.33018,60.06615,1.92152
132,2025-259813,BSIT,59.78652,0,20,47.28,76.12104,65.09177,53.82261,36.34289,59.78652,2.46423
133,2025-475856,BLIS,63.20123,0,19,59.47,77.89059,68.07603,53.47503,29.15169,63.20123,2.31086
134,2025-712149,BSCS,63.37842,0,22,55.67,83.33862,92.11445,38.73928,34.5807,63.37842,1.99118
135,2025-669351,BSIT,62.32168,0,21,51.16,74.897,86.01468,43.34139,39.9353,62.32168,2.16686
136,2025-663208,BSIT,62.38993,0,20,66.7,57.56705,84.73835,49.03748,41.46401,62.38993,2.25756
137,2025-662435,BSCS,62.53884,0,21,71.62,73.95732,83.55832,44.29639,43.56154,62.53884,2.11854
138,2025-777499,BSIT,62.07835,0,20,57.37,75.7377,74.59074,49.88314,36.18667,62.07835,2.27628
139,2025-611099,BSDSA,61.7832,0,18,48.25,67.03838,60.40496,59.9779,34.95661,61.7832,2.5573
140,2025-392319,BLIS,61.76116,0,25,62.99,86.58326,90.68776,36.77166,45.979,61.76116,1.97894
141,2025-955087,BSCS,60.55999,0,21,44.85,94.21233,75.76604,44.99835,30.92624,60.55999,2.18875
142,2025-290330,BSIT,64.0308,0,25,58.95,68.75026,93.87149,41.1757,45.48584,64.0308,2.06325
143,2025-832265,BLIS,66.36756,0,23,60.31,83.25547,66.503,50.60814,45.13824,66.36756,2.2328
144,2025-441337,BSCS,64.40992,0,23,72.03,87.51813,83.56179,41.55037,41.73121,64.40992,1.97843
145,2025-101921,BSCS,64.13561,0,24,77.4,82.15559,93.77264,38.13555,41.62322,64.13561,1.88171
146,2025-879688,BSCS,62.98579,0,22,75.98,72.70662,82.72654,45.39984,48.29919,62.98579,2.11394
147,2025-531624,BSCS,63.55348,0,22,60.22,59.23248,84.87456,50.13836,39.72754,63.55348,2.24991
148,2025-947421,BSDSA,61.32491,0,18,42.27,71.84395,65.56663,56.84002,35.84681,61.32491,2.48817
149,2025-672778,BSCS,65.13427,0,25,59.38,62.00979,80.27775,51.55337,40.71499,65.13427,2.26092
150,2025-360567,BSCS,61.07792,0,22,73.35,66.74601,84.5507,47.8498,42.14119,61.07792,2.18078
151,2025-482975,BSIT,62.3302,0,19,51.36,73.12827,73.00647,52.67242,37.52837,62.3302,2.33617
152,2025-429330,BLIS,64.55186,0,25,80.95,79.11004,100.0,38.20841,33.52497,64.55186,1.81049
153,2025-309092,BSIT,64.57286,0,23,69.6,57.72822,82.30609,51.62597,43.03879,64.57286,2.23894
154,2025-392599,BSIT,63.47047,0,20,41.02,74.47608,63.11525,57.4023,37.68369,63.47047,2.4672
155,2025-875279,BSCS,62.52265,0,24,43.31,74.3838,63.70492,57.85015,35.51831,62.52265,2.46687
156,2025-773175,BSCS,60.78108,0,24,69.22,75.9983,76.48447,48.8396,46.23583,60.78108,2.22482
157,2025-577425,BLIS,64.51192,0,21,64.56,68.34781,66.91655,57.57292,38.53805,64.51192,2.35979
158,2025-171607,BSCS,62.71485,0,19,93.5,91.06359,94.56913,35.88738,44.40804,62.71485,1.75922
159,2025-379187,BLIS,63.56643,0,24,53.13,69.56519,82.33302,49.03152,41.57272,63.56643,2.2259
160,2025-504825,BSIT,61.67265,0,24,64.9,97.25219,80.35058,41.79768,41.61544,61.67265,2.01141
161,2025-787164,BLIS,62.14455,0,19,54.34,78.62992,76.92438,49.38363,40.53108,62.14455,2.2362
162,2025-770136,BSCS,63.39164,0,23,83.67,99.92406,100.0,30.95133,43.12788,63.39164,1.65166
163,2025-498081,BSCS,65.25645,0,24,69.01,74.60595,96.87466,40.65,40.54669,65.25645,1.92051
164,2025-255959,BSIT,67.52543,0,25,65.24,100.0,65.88746,47.49623,46.35097,67.52543,2.06798
165,2025-947294,BSCS,62.17259,0,24,44.54,65.507,87.26848,49.8525,32.98898,62.17259,2.2558
166,2025-643272,BSCS,63.12496,0,20,66.0,76.0314,68.74102,54.94958,38.43786,63.12496,2.29286
167,2025-910654,BSIT,62.86423,0,24,58.85,71.00546,79.84099,48.70234,50.0,62.86423,2.23264
168,2025-881625,BSCS,62.69117,0,20,92.73,100.0,98.47555,30.81004,50.0,62.69117,1.64431
169,2025-585219,BSIT,64.51924,0,21,42.69,71.17444,77.93323,51.81452,39.75566,64.51924,2.29234
170,2025-432086,BSCS,64.87019,0,21,41.46,65.18348,73.75357,57.62855,30.47078,64.87019,2.38973
171,2025-471439,BLIS,62.44023,0,23,40.33,53.88302,76.10156,57.98592,40.0192,62.44023,2.49535
172,2025-318245,BLIS,62.22896,0,25,44.87,87.67182,72.2422,52.6257,25.94286,62.22896,2.25658
173,2025-975699,BSIT,60.88361,0,24,48.29,76.42791,68.82712,54.23396,43.95616,60.88361,2.39535
174,2025-550066,BSIT,64.28384,0,24,56.21,76.53548,85.51593,47.32896,36.72185,64.28384,2.10814
175,2025-953811,BSCS,64.40863,0,20,53.69,86.70868,78.16199,47.62105,39.57689,64.40863,2.12309
176,2025-521094,BSCS,64.1717,0,23,41.71,72.75176,65.72754,59.63875,32.13405,64.1717,2.43567
177,2025-884799,BSIT,62.3374,0,19,53.6,71.74704,88.48806,48.26951,34.49061,62.3374,2.15237
178,2025-858927,BSIT,66.80753,0,19,72.9,86.12252,94.36216,38.03048,50.0,66.80753,1.81815
179,2025-154377,BSCS,62.42584,0,20,42.16,85.89694,83.33771,44.85389,44.96634,62.42584,2.14532
180,2025-376088,BSIT,66.23079,0,20,56.15,88.74752,95.09825,37.69383,47.09816,66.23079,1.86455
181,2025-832724,BSCS,64.30589,0,24,43.1,83.2528,78.60647,48.99624,40.42281,64.30589,2.18941
182,2025-701894,BSCS,65.08834,0,23,49.37,67.14297,70.6911,59.59007,31.86122,65.08834,2.37567
183,2025-793586,BLIS,64.4509,0,19,40.48,77.2395,68.05333,58.14152,31.16438,64.4509,2.37231
184,2025-648058,BSCS,67.01325,0,25,50.3,80.35766,79.8143,49.4267,40.70259,67.01325,2.12596
185,2025-198243,BLIS,65.09393,0,19,42.69,64.96567,64.50214,62.61007,36.42885,65.09393,2.49399
186,2025-675968,BSDSA,65.31137,0,24,48.66,83.95571,73.23119,52.84279,36.25803,65.31137,2.20996
187,2025-459305,BLIS,65.67633,0,18,66.51,77.46547,82.71587,48.9404,41.81749,65.67633,2.07082
188,2025-595178,BSDSA,67.28998,0,20,77.62,77.83371,83.27305,47.66868,46.71192,67.28998,1.99093
189,2025-237613,BSCS,63.3972,0,18,48.29,65.17795,78.67852,57.40816,28.87863,63.3972,2.32692
190,2025-172220,BSIT,66.72971,0,22,71.28,100.0,89.44409,37.37905,50.0,66.72971,1.77388
191,2025-542430,BSCS,62.48227,0,23,40.78,68.07978,72.08973,58.70238,35.12761,62.48227,2.42745
192,2025-546874,BSCS,65.90217,0,18,74.2,85.63289,89.38938,42.24964,48.0191,65.90217,1.89103
193,2025-643633,BSDSA,65.24393,0,21,68.5,79.84024,100.0,40.62379,38.46343,65.24393,1.84338
194,2025-842641,BSCS,66.20757,0,24,49.55,82.3301,72.61241,53.08815,41.78837,66.20757,2.21249
195,2025-539284,BSDSA,65.09773,0,21,51.74,81.36143,71.11414,56.60987,29.58387,65.09773,2.24722
196,2025-132209,BSCS,61.36259,0,22,47.58,79.12722,72.62267,55.93893,32.61636,61.36259,2.32339
197,2025-429397,BSCS,66.05223,0,21,83.15,92.51592,85.12151,42.32948,50.0,66.05223,1.84898
198,2025-145239,BSCS,64.96215,0,24,50.22,59.87924,61.55385,64.76148,46.02889,64.96215,2.54205
199,2025-851883,BSIT,64.40003,0,23,57.21,81.20292,51.49981,63.94066,43.41141,64.40003,2.47314
200,2025-820552,BLIS,64.44411,0,18,78.34,100.0,87.01714,40.39024,44.40225,64.44411,1.81133
201,2025-147973,BSCS,64.81339,0,25,60.08,75.87916,83.70123,50.04681,41.06317,64.81339,2.11122
202,2025-605283,BSCS,62.42646,0,21,43.32,70.94103,64.81427,62.53681,33.398,62.42646,2.4826
203,2025-133908,BSCS,66.32888,0,24,67.89,92.94017,77.79046,47.21882,44.6052,66.32888,1.99017
204,2025-523554,BSCS,64.73337,0,21,41.29,58.02817,56.01346,70.05642,38.14396,64.73337,2.66272
205,2025-311283,BSCS,65.91455,0,24,59.05,72.48946,67.63803,60.41103,35.68928,65.91455,2.3176
206,2025-498427,BSIT,66.09748,0,19,45.75,81.43157,75.18225,52.77544,42.03507,66.09748,2.2058
207,2025-977674,BSCS,63.89368,0,20,48.53,75.71088,74.80356,55.18281,39.65533,63.89368,2.28025
208,2025-941410,BSIT,64.61885,0,24,80.51,100.0,74.99134,47.11601,43.70903,64.61885,1.94416
209,2025-403051,BSIT,64.24941,0,18,60.52,72.94188,91.38741,49.24326,33.3812,64.24941,2.04975
210,2025-982681,BSCS,65.52865,0,20,49.13,78.4806,78.83686,53.94713,33.71084,65.52865,2.18113
211,2025-493340,BSIT,63.72454,0,18,48.51,58.45178,83.55037,58.2348,30.56002,63.72454,2.31615
212,2025-288565,BSCS,69.39503,0,21,71.02,69.12533,75.54655,56.26605,44.40502,69.39503,2.14604
213,2025-702359,BSCS,65.8721,0,22,51.21,64.47843,66.40727,64.08493,35.1581,65.8721,2.42849
214,2025-464388,BSIT,66.90783,0,23,72.85,66.19554,77.57286,57.42761,37.99275,66.90783,2.17764
215,2025-286366,BSCS,67.68113,0,24,73.9,86.54387,68.0433,56.21405,37.7001,67.68113,2.11263
216,2025-683137,BSCS,66.46704,0,19,78.56,78.63641,80.25383,50.07233,50.0,66.46704,2.03015
217,2025-459728,BSCS,65.61587,0,23,69.61,100.0,83.92044,43.00505,44.29927,65.61587,1.86466
218,2025-877318,BSCS,65.69779,0,21,56.89,74.69174,89.17954,49.65399,35.91914,65.69779,2.05359
219,2025-141355,BSIT,64.56802,0,23,42.27,74.85891,71.62791,57.80591,39.49374,64.56802,2.33943
220,2025-841836,BSCS,65.95828,0,20,40.52,60.49592,69.68421,64.69344,32.10449,65.95828,2.46241
221,2025-909125,BSCS,65.77329,0,18,41.63,74.57092,70.81235,59.54903,34.96482,65.77329,2.33479
222,2025-127021,BSIT,65.39829,0,23,51.51,80.49043,88.13657,48.99874,36.27428,65.39829,2.04603
223,2025-905141,BSCS,65.02383,0,20,40.14,59.15861,67.25426,66.43343,33.96952,65.02383,2.51874
224,2025-302237,BSIT,67.97562,0,22,51.24,75.31383,55.98976,65.08289,44.99764,67.97562,2.43304
225,2025-370873,BSCS,64.72259,0,21,83.21,92.90973,91.48437,41.86384,46.30964,64.72259,1.79051
226,2025-781774,BSIT,66.24584,0,20,45.2,67.14998,70.82665,62.45235,34.19203,66.24584,2.37215
227,2025-800515,BSIT,65.28968,0,20,42.46,82.52188,60.53593,64.23142,28.67289,65.28968,2.39892
228,2025-938804,BSIT,67.02291,0,24,62.07,58.96824,82.66954,57.56923,42.50269,67.02291,2.21557
229,2025-193551,BSDSA,67.19201,0,23,47.19,53.919,72.95713,64.84484,38.32536,67.19201,2.42933
230,2025-914680,BSIT,66.91838,0,25,76.47,98.44675,92.57822,40.78179,43.05732,66.91838,1.72491
231,2025-446033,BSCS,65.17651,0,24,44.25,71.98504,53.32773,69.12333,40.01721,65.17651,2.56436
232,2025-694698,BSIT,70.61374,0,20,86.37,93.24239,84.71087,45.41458,48.31757,70.61374,1.76223
233,2025-997979,BLIS,67.82175,0,21,42.17,69.35615,70.36893,61.44865,40.06942,67.82175,2.3469
234,2025-270296,BSIT,66.00928,0,18,89.06,78.63247,94.55656,44.63499,50.0,66.00928,1.82387
235,2025-163935,BSDSA,65.80164,0,21,45.79,72.21567,70.24538,60.46363,42.05909,65.80164,2.34334
236,2025-181332,BSCS,69.16272,0,18,49.47,68.68768,68.42825,61.52865,46.8109,69.16272,2.32488
237,2025-106054,BSCS,67.02077,0,21,82.17,75.80335,95.09478,46.55354,44.53166,67.02077,1.85142
238,2025-554090,BSIT,65.13853,0,21,51.8,72.10024,79.65584,57.86906,32.22943,65.13853,2.21791
239,2025-478204,BSCS,67.11698,0,21,42.41,59.97949,67.68191,67.53423,32.13436,67.11698,2.46447
240,2025-472290,BSCS,65.48996,0,22,57.01,81.99126,73.7509,56.32916,40.01924,65.48996,2.18318
241,2025-271205,BSCS,65.96143,0,23,40.1,97.99727,64.40976,55.88165,41.85508,65.96143,2.22732
242,2025-882339,BSIT,66.03014,0,23,84.79,71.36159,100.0,45.73305,46.05178,66.03014,1.83347
243,2025-912557,BSCS,66.71043,0,22,84.93,100.0,95.17676,41.32205,37.91348,66.71043,1.65079
244,2025-703537,BSCS,69.47718,0,22,76.82,82.30843,88.8054,47.43295,50.0,69.47718,1.85695
245,2025-631895,BSCS,68.14021,0,22,40.94,62.59971,64.32659,69.24591,31.9012,68.14021,2.47328
246,2025-361188,BSDSA,66.07782,0,18,54.43,68.18101,84.65635,55.58774,41.04448,66.07782,2.16371
247,2025-408617,BSCS,68.47054,0,25,59.99,83.59892,71.46243,57.03371,43.82187,68.47054,2.13817
248,2025-970758,BLIS,66.6982,0,18,60.35,75.79319,76.51352,57.84784,38.98937,66.6982,2.16692
